source_col,input_cols,target_col
Year ended,Year<|>Wins<|>Losses<|>Percentage<|>Finish,Year
Original Canadian air date,Episode<|>Director<|>Writer<|>Original air date<|>Ratings (millions),Original air date
UK ratings (BBC Four),Episode<|>Director<|>Writer<|>Original air date<|>Ratings (millions),Ratings (millions)
Season episode,Episode<|>Director<|>Writer<|>Original air date<|>Ratings (millions),Episode
Last season,Season<|>Competition<|>Matches<|>Draw<|>Lost<|>Points,Season
Date of Entry,Name<|>Date of birth<|>Position(s)<|>Seasons<|>Matches & (Goals) (League + Finals + KNVB-Cup)<|>Previous club,Date of birth
Year [A ],Year (Ceremony)<|>Film title used in nomination<|>Persian title<|>Director<|>Result,Year (Ceremony)
Year [A ],Year (Ceremony)<|>Film title used in nomination<|>Title in the original language<|>Director<|>Result,Year (Ceremony)
Season episode,Episode<|>Garfield Episode 1<|>U.S. Acres Episode<|>Garfield Episode 2<|>Original Airdate,Episode
Year ended,Year<|>Competition<|>Date<|>Location<|>Score<|>Result,Year
Number of episode,Season<|>Date Released<|># Of Episodes<|># Of Discs<|>Special Features,# Of Episodes
Release date,Season<|>Date Released<|># Of Episodes<|># Of Discs<|>Special Features,Date Released
Last season,Season<|>Date Released<|># Of Episodes<|># Of Discs<|>Special Features,Season
Singapore League Cup,Name<|>Championship<|>FA Cup<|>League Cup<|>Total,League Cup
FA Cup goals,Name<|>Championship<|>FA Cup<|>League Cup<|>Total,FA Cup
Reason for separation,Judge<|>State<|>Born/Died<|>Active service<|>Chief Judge<|>Senior status<|>Appointed by<|>Reason for termination,Reason for termination
Last season,Season<|>LKF Cup<|>Regional Competitions<|>Europe<|>Head Coach,Season
Last season,Class<|>Season<|>Race<|>Podiums<|>Pole,Season
Release date,Series<|>Title<|>Broadcasts (TV) 1<|>Episodes (TV+extra) 2<|>Directors<|>Aired in Japan 3<|>US Release Date,US Release Date
Proto-Italo-Western 1,Series<|>Title<|>Broadcasts (TV) 1<|>Episodes (TV+extra) 2<|>Directors<|>Aired in Japan 3<|>US Release Date,Broadcasts (TV) 1
Year ended,Year<|>Entrant<|>Chassis<|>Engine<|>Pts.,Year
Year ended,Year<|>Imports (tonnes)<|>Exports (tonnes)<|>Total trade (tonnes)<|>Vessels entering port,Year
Change (SW Eng),Country<|>Year (most recent)<|>Adult (15+) Literacy Rate Total<|>Adult Men<|>Adult Women<|>Youth (15-24) Literacy Rate Total<|>Youth Men<|>Youth Women,Year (most recent)
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Featured character(s)<|>Original air date<|>U.S. viewers (million),Original air date
prize money ( € ),Place<|>Player<|>Country<|>Score<|>To par<|>Money ( £ ),Money ( £ )
Last season,Season<|>Overall<|>Slalom<|>Giant Slalom<|>Super G<|>Downhill<|>Combined,Season
Year [A ],Pick<|>Player<|>Pos.<|>Nationality<|>Team<|>Previous team<|>NBA years [a ]<|>Career with the franchise [b ],NBA years [a ]
Year ended,"Ship<|>Year<|>Dates<|>Line<|>From<|>Distance<|>Days, hours, minutes<|>Speed",Year
☵ 坎 Kǎn Water,"Ship<|>Year<|>Dates<|>Line<|>From<|>Distance<|>Days, hours, minutes<|>Speed","Days, hours, minutes"
Completed?,Season<|>Season premiere<|>Season finale<|>TV season<|>Ranking<|>Viewers (in millions),Viewers (in millions)
Last season,Season<|>Season premiere<|>Season finale<|>TV season<|>Ranking<|>Viewers (in millions),Season
Original Canadian air date,Series no.<|>No. in season<|>Title<|>Written by<|>Directed by<|>Original air date,Original air date
Year ended,Year<|>Class<|>Team<|>Points<|>Rank<|>Wins,Year
year,Year ended<|>Passengers (thousand)<|>RPK (million)<|>ASK (million)<|>Load factor (%)<|>Yield (S¢/km),Year ended
"$50,000 to $60,000",Year ended<|>Passengers (thousand)<|>RPK (million)<|>ASK (million)<|>Load factor (%)<|>Yield (S¢/km),ASK (million)
Last season,Season<|>Games<|>Wins<|>Losses<|>Ties<|>Points<|>Goals For<|>Goals Against<|>Standing<|>Playoffs,Season
prize money ( € ),Rank<|>Player<|>Country<|>Events<|>Prize money ( $ ),Prize money ( $ )
Year ended,Year<|>Team<|>Co-Drivers<|>Class<|>Laps<|>Pos.<|>Class Pos.,Year
Season episode,Order<|>Episode<|>Original airdate<|>Timeslot<|>Viewers (100000s)<|>Nightly rank<|>Weekly rank,Episode
Height (m ft),Name of peak<|>Height (m)<|>Height (ft)<|>Prominence (m)<|>Prominence (ft)<|>Nearest Higher Neighbor,Height (m)
Year ended,Year<|>Tournaments played<|>Cuts made<|>Wins<|>3rds<|>Top 10s<|>Best finish<|>Earnings ($)<|>Money list rank<|>Scoring average,Year
Year ended,Outcome<|>Year<|>Championship<|>Surface<|>Partner<|>Opponents<|>Score,Year
Odds of Winning,Year<|>Horse<|>Driver<|>Trainer<|>Country of owner<|>Odds of winner<|>Winning time (km rate),Odds of winner
Year ended,Year<|>Horse<|>Driver<|>Trainer<|>Country of owner<|>Odds of winner<|>Winning time (km rate),Year
Time (greatest),Year<|>Horse<|>Driver<|>Trainer<|>Country of owner<|>Odds of winner<|>Winning time (km rate),Winning time (km rate)
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original air date<|>Production code<|>U.S. viewers (million),Original air date
Season episode,Series Ep.<|>Episode<|>Netflix<|>Segment A<|>Segment B<|>Segment C<|>Segment D,Episode
Season episode,Series Ep.<|>Episode<|>Segment A<|>Segment B<|>Segment C<|>Segment D,Episode
Number of Candidates,Test<|>Subject<|>Mean score<|>Standard deviation<|>Number of Students,Number of Students
Year ended,Publication<|>Country<|>Accolade<|>Year<|>Rank,Year
Opponent in the Final,Date<|>Tournament<|>Surface<|>Partner<|>Opponents in the final,Opponents in the final
Year ended,Year<|>Total Region<|>Biggenden<|>Eidsvold<|>Gayndah<|>Monto<|>Mundubbera<|>Perry,Year
GAMES,Team<|>Games Played<|>Wins<|>Losses<|>Ties<|>Goals For<|>Goals Against,Games Played
Completed?,Model<|>Books / PUs<|>IFLs / uIFLs<|>zAAPs / zIIPs<|>ICFs<|>Opt SAPs<|>Std SAPs<|>Std Spares<|>Standard Memory (GB)<|>Flexible Memory (GB),zAAPs / zIIPs
% 0-19 years,Neighbourhood<|>% 0-19<|>% 20-39<|>% 40-59<|>% 60-74<|>% 75 +,% 0-19
Fastest laps,Round<|>Grand Prix<|>Pole Position<|>Fastest Lap<|>Winning Driver<|>Winning Constructor<|>Report,Fastest Lap
Fastest laps,Date<|>Round<|>Circuit<|>Pole Position<|>Fastest Lap<|>Race Winner<|>Report,Fastest Lap
Last season,Season<|>Premier<|>Runner-up<|>Score<|>Margin<|>Venue<|>Attendance,Season
Max. speed,Year<|>Date<|>Driver<|>Team<|>Manufacturer<|>Laps<|>Miles (km)<|>Race Time<|>Average Speed (mph)<|>Report,Average Speed (mph)
Year ended,Year<|>Date<|>Driver<|>Team<|>Manufacturer<|>Laps<|>Miles (km)<|>Race Time<|>Average Speed (mph)<|>Report,Year
Year ended,Year<|>Award Ceremony<|>Category<|>Nominee<|>Result,Year
Year ended,Year<|>Class<|>Team<|>Points<|>Wins,Year
Year ended,Year<|>Award ceremony<|>Role<|>Production<|>Result,Year
sequence length (aa),Direction<|>Name<|>Japanese<|>Terminals<|>Length (km),Length (km)
Last season,Season<|>1st Round<|>2nd Round<|>3rd Round<|>Finals,Season
Total Apps (Sub),No.<|>Player<|>League Apps<|>League Goals<|>Cup Apps<|>Cup Goals<|>Total Apps<|>Total Goals<|>YC<|>RC,Total Apps
FA Cup goals,No.<|>Player<|>League Apps<|>League Goals<|>Cup Apps<|>Cup Goals<|>Total Apps<|>Total Goals<|>YC<|>RC,Cup Goals
Year ended,Year<|>Winning team<|>Losing team<|>Score<|>Site,Year
Year ended,Year<|>Series<|>Winning team<|>Losing team<|>Score<|>Site,Year
Year ended,Year<|>World<|>Asia<|>Africa<|>Europe<|>Latin America/Caribbean<|>Northern America<|>Oceania,Year
Year ended,Year<|>Song (s)<|>Producer (s)<|>Written By<|>Artist<|>Title/Label,Year
% Increase,Self-identification<|>Moldovan census<|>% Core Moldova<|>Transnistrian census<|>% Transnistria + Bender<|>Total<|>%,%
Last season,Title<|>Season<|>Winner<|>Score<|>Runner-up<|>Venue<|>Attendance,Season
Year ended,Year<|>Tournaments played<|>Cuts made<|>Wins<|>Best finish<|>Earnings ( $ )<|>Money list rank,Year
Purse ( $ ),Year<|>Tournaments played<|>Cuts made<|>Wins<|>Best finish<|>Earnings ( $ )<|>Money list rank,Earnings ( $ )
Year ended,Year<|>Tournaments played<|>Cuts made<|>Wins<|>2nds<|>3rds<|>Top tens<|>Best finish<|>Earnings ( $ )<|>Money list rank,Year
Purse ( $ ),Year<|>Tournaments played<|>Cuts made<|>Wins<|>2nds<|>3rds<|>Top tens<|>Best finish<|>Earnings ( $ )<|>Money list rank,Earnings ( $ )
Singapore League Cup,Name<|>League<|>FA Cup<|>League Cup<|>Total,League Cup
FA Cup goals,Name<|>League<|>FA Cup<|>League Cup<|>Total,FA Cup
Last season,Season<|>Division<|>Finish<|>Wins<|>Losses<|>Pct.,Season
Start Time,Track<|>Recorded<|>Catalogue<|>Release Date<|>Chart Peak<|>Song Title<|>Time,Time
Song 2 title,Track<|>Recorded<|>Catalogue<|>Release Date<|>Chart Peak<|>Song Title<|>Time,Song Title
Peak chart position,Track<|>Recorded<|>Catalogue<|>Release Date<|>Chart Peak<|>Song Title<|>Time,Chart Peak
Start Time,Track<|>Recorded<|>Release Date<|>Song Title<|>Writer(s)<|>Time,Time
Song 2 title,Track<|>Recorded<|>Release Date<|>Song Title<|>Writer(s)<|>Time,Song Title
Year of Issue,"Year of award<|>Athlete<|>Nation of citizenship<|>Team<|>Competition , governing body , or league<|>Sport",Year of award
"Competition , federation , or league","Year of award<|>Athlete<|>Nation of citizenship<|>Team<|>Competition , governing body , or league<|>Sport","Competition , governing body , or league"
Nation represented or nation of citizenship,"Year of award<|>Athlete<|>Nation of citizenship<|>Team<|>Competition , governing body , or league<|>Sport",Nation of citizenship
500 m,Athlete<|>Event<|>100H<|>200 m<|>800 m<|>Final<|>Rank,200 m
Year ended,Eruptions<|>Country<|>Location<|>Year<|>Volcanic Explosivity Index<|>Fatalities,Year
Year ended,Year<|>Driver<|>Constructor<|>Location<|>Report,Year
"Last Current driver(s) September 22, 2013","Rank<|>Country (or dependent territory)<|>July 1, 2013 projection<|>% of pop.<|>Average relative annual growth (%)<|>Average absolute annual growth","July 1, 2013 projection"
Mission's Country,"Rank<|>Country (or dependent territory)<|>July 1, 2013 projection<|>% of pop.<|>Average relative annual growth (%)<|>Average absolute annual growth",Country (or dependent territory)
"Military expenditures (2011, % of GDP)","Rank<|>Country (or dependent territory)<|>July 1, 2013 projection<|>% of pop.<|>Average relative annual growth (%)<|>Average absolute annual growth",% of pop.
English party name,English Name<|>Simplified<|>Traditional<|>Pinyin<|>Foochow<|>Area<|>Population<|>Density,English Name
Year ended,Name<|>Year<|>Propulsion<|>launched by<|>Country,Year
Start Time,Rank<|>Lane<|>Name<|>Nationality<|>Time,Time
Year [A ],Ship name<|>Year built/refurbished<|>Length<|>Crew<|>Guests<|>Staterooms<|>Comments,Year built/refurbished
Cross-section area (cm 2 ),Rank<|>Incorporated place<|>Metropolitan area<|>State<|>Population (2010 census)<|>Land area (mi 2 )<|>Population density (people per mi 2 ),Land area (mi 2 )
Density (inhabitants km 2 ),Rank<|>Incorporated place<|>Metropolitan area<|>State<|>Population (2010 census)<|>Land area (mi 2 )<|>Population density (people per mi 2 ),Population density (people per mi 2 )
Population (Bundaberg),Rank<|>Incorporated place<|>Metropolitan area<|>State<|>Population (2010 census)<|>Land area (mi 2 )<|>Population density (people per mi 2 ),Population (2010 census)
Cross-section area (cm 2 ),Rank<|>Census-designated place<|>Metropolitan area<|>State<|>Population (2000 census)<|>Land area (mi 2 )<|>Population density (people per mi 2 ),Land area (mi 2 )
Density (inhabitants km 2 ),Rank<|>Census-designated place<|>Metropolitan area<|>State<|>Population (2000 census)<|>Land area (mi 2 )<|>Population density (people per mi 2 ),Population density (people per mi 2 )
Population (Bundaberg),Rank<|>Census-designated place<|>Metropolitan area<|>State<|>Population (2000 census)<|>Land area (mi 2 )<|>Population density (people per mi 2 ),Population (2000 census)
Start Time,Date<|>Time<|>Home<|>Away<|>Score<|>Ground,Time
Year ended,Year<|>Team<|>Chassis<|>Engine<|>Tyres<|>Points,Year
Last season,Season<|>Tier<|>League<|>Postseason<|>European competitions,Season
Opponent in the Final,Outcome<|>Date<|>Tournament<|>Surface<|>Partner<|>Opponents in the final<|>Score,Opponents in the final
Last season,Runs<|>Player<|>Opponent<|>Venue<|>Season,Season
4th place,Year<|>Champion<|>Runner-Up<|>3rd Place<|>Location,3rd Place
Year ended,Year<|>Champion<|>Runner-Up<|>3rd Place<|>Location,Year
% change on year,Rank<|>Airport<|>Passengers<|>% Change<|>Carriers,% Change
Cross-section area (cm 2 ),Code<|>County<|>Former Province<|>Area (km 2 )<|>Population Census 2009<|>Capital,Area (km 2 )
2010 population,Code<|>County<|>Former Province<|>Area (km 2 )<|>Population Census 2009<|>Capital,Population Census 2009
Year ended,Year<|>Team<|>Co-Drivers<|>Class<|>Pos.<|>Class Pos.,Year
3 September 2004,"World record<|>Denis Nizhegorodov ( RUS )<|>3:34:14<|>Cheboksary , Russia<|>11 May 2008",11 May 2008
"2001 number (,000)",Number (CMNH)<|>Number (PNM)<|>Date<|>Site<|>Altitude<|>Sex and other data,Number (CMNH)
1976,City<|>1970<|>1980<|>1990<|>2000<|>2010 est.,1980
1991,City<|>1970<|>1980<|>1990<|>2000<|>2010 est.,1990
sequence length (aa),Segment description<|>Date opened<|>Line(s)<|>Endpoints<|># of new stations<|>Length (miles),Length (miles)
FA Cup goals,Player<|>League<|>Malaysia Cup<|>FA Cup<|>Total,FA Cup
Last season,Season<|>League<|>Finish<|>Wins<|>Losses<|>Ties,Season
Output power,"Model<|>Engine<|>Displacement<|>Max. power output<|>Peak torque<|>0–100km/h,s 0-62mph,s<|>Top speed<|>CO 2 emissions<|>Years<|>Note<|>Engine code",Max. power output
Academy Award,Year<|>Award<|>Category<|>Nominee<|>Result,Award
Year ended,Year<|>Award<|>Category<|>Nominee<|>Result,Year
Year ended,Rank<|>Name<|>Attempts<|>Net Yds<|>Yds/Att<|>Year,Year
Last season,Season<|>RL Süd (1st)<|>RL Süd (2nd)<|>RL Südwest (1st)<|>RL Südwest (2nd),Season
Year of Issue,Date of Issue<|>Theme<|>Denomination<|>Design<|>Illustration<|>Printing Process<|>Paper Type<|>First Day Cover Cancellation,Date of Issue
Year of Issue,Name<|>Year of release<|>Developer<|>Publisher<|>Original platforms,Year of release
Year ended,Year<|>Chassis<|>Engine<|>Tyres<|>Points,Year
prize money ( € ),Year<|>Tournaments played<|>Cuts made<|>Wins<|>2nd<|>3rd<|>Top 10s<|>Best finish<|>Earnings ( € )<|>Money list rank<|>Scoring average<|>Scoring rank<|>Rolex ranking,Earnings ( € )
Year ended,Year<|>Tournaments played<|>Cuts made<|>Wins<|>2nd<|>3rd<|>Top 10s<|>Best finish<|>Earnings ( € )<|>Money list rank<|>Scoring average<|>Scoring rank<|>Rolex ranking,Year
Season episode,Episode<|>Title<|>Story<|>Adapted by<|>Director<|>Airdate<|>Exists?,Episode
Season episode,Episode<|>Date Aired<|>Timeslot<|>Rating<|>Nightly Rank<|>Weekly Rank,Episode
High school,Player<|>Position<|>School<|>Hometown<|>College,School
Start Time,Rank<|>Heat<|>Lane<|>Name<|>Nationality<|>Time,Time
Last season,Season<|>Date<|>Winners<|>Finalists<|>Score,Season
Last season,Season<|>Points<|>Rebounds<|>Assists<|>Blocks<|>Steals<|>Turnovers,Season
Time (greatest),#<|>Spacecraft<|>Spacewalkers<|>Start ( UTC )<|>End (UTC)<|>Duration,End (UTC)
Singapore League Cup,Name<|>League<|>FA Cup<|>League Cup<|>Other<|>Total,League Cup
FA Cup goals,Name<|>League<|>FA Cup<|>League Cup<|>Other<|>Total,FA Cup
Home city town,Club<|>Home city<|>Stadium<|>First season in the Serie A<|>First season in current spell<|>Last title,Home city
Country (or dependent territory),Name<|>Country<|>City<|>Mission's Country<|>Start Date,Mission's Country
Opp. Points,Finishing position<|>Points awarded (Platinum)<|>Points awarded (Gold)<|>Points awarded (Silver)<|>Points awarded (Satellite),Points awarded (Platinum)
"$50,000 to $60,000",Year<|>Starts<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position,Avg. Start
Weeks in top 12,Year<|>Starts<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position,Top 10
Year ended,Year<|>Starts<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Winnings<|>Position,Year
% change on year,Year<|>Population<|>Five Year % change<|>Ten Year % change<|>Rank Among Provinces,Five Year % change
Year ended,Year<|>Population<|>Five Year % change<|>Ten Year % change<|>Rank Among Provinces,Year
August,City<|>Region<|>July<|>January<|>Annual Precipitation<|>Plant Hardiness Zone,July
Last season,Season<|>Series<|>Races<|>Poles<|>Wins<|>Podiums<|>Points<|>Position,Season
Last season,Season<|>Club<|>Country<|>Competition<|>Apps.<|>Goals,Season
Percentage of global total,"Data<|>Headcount<|>Percent of total<|>Less than $25,000<|>$25,000 to $40,000<|>$40,000 to $50,000<|>$50,000 to $60,000<|>$60,000 to $70,000<|>$70,000 to $80,000<|>More than $80,000<|>Mean",Percent of total
Change (SW Eng),"Data<|>Headcount<|>Percent of total<|>Less than $25,000<|>$25,000 to $40,000<|>$40,000 to $50,000<|>$50,000 to $60,000<|>$60,000 to $70,000<|>$70,000 to $80,000<|>More than $80,000<|>Mean","$25,000 to $40,000"
Year ended,Year<|>Venue<|>Champion<|>Country<|>Score<|>Runner-up,Year
2010 population,Ethnic group<|>2001 population<|>2001 %<|>2011 population<|>2011 %,2011 population
Population % 2001,Ethnic group<|>2001 population<|>2001 %<|>2011 population<|>2011 %,2001 %
Release date,Date Released<|>Polling institute<|>Social Democratic<|>Socialist<|>Green-Communist<|>Democratic and Social Centre<|>Lead,Date Released
Year ended,Year<|>Dates<|>Champion<|>Country<|>Score<|>Margin of victory<|>Tournament Location<|>Purse ( US$ )<|>Winner's share,Year
Purse ( $ ),Year<|>Dates<|>Champion<|>Country<|>Score<|>Margin of victory<|>Tournament Location<|>Purse ( US$ )<|>Winner's share,Purse ( US$ )
Box office,Year<|>Film<|>Budget<|>Domestic Box Office<|>Foreign Box Office<|>Total<|>US DVD sales<|>Total (with DVD sales),Domestic Box Office
Year ended,Year<|>Film<|>Budget<|>Domestic Box Office<|>Foreign Box Office<|>Total<|>US DVD sales<|>Total (with DVD sales),Year
Weeks in top 12,Volume:Issue<|>Issue Date(s)<|>Weeks on Top<|>Song<|>Artist,Weeks on Top
Start Time,Year<|>Stage<|>Category<|>Start<|>Finish<|>Leader at the summit,Start
Year ended,Year<|>Stage<|>Category<|>Start<|>Finish<|>Leader at the summit,Year
Rushing yards,Player<|>Rec.<|>Yards<|>Avg.<|>Long,Yards
Year ended,Year<|>Date<|>Title<|>Format(s)<|>Award Description(s)<|>Result(s),Year
Change (SW Eng),Year<|>Date<|>Title<|>Format(s)<|>Award Description(s)<|>Result(s),Result(s)
Completed?,Season<|>Episodes<|>Timeslot (EST)<|>Season premiere<|>Season finale<|>TV season<|>Ranking<|>Viewers (in millions),Viewers (in millions)
Last season,Season<|>Episodes<|>Timeslot (EST)<|>Season premiere<|>Season finale<|>TV season<|>Ranking<|>Viewers (in millions),Season
Total Apps (Sub),Main contestant<|>Co-contestant (Yaar vs. Pyaar)<|>Date performed<|>Scores by each individual judge<|>Total score/week<|>Position<|>Status,Total score/week
Completed?,Main contestant<|>Co-contestant (Yaar vs. Pyaar)<|>Date performed<|>Scores by each individual judge<|>Total score/week<|>Position<|>Status,Co-contestant (Yaar vs. Pyaar)
